,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2)
01/01/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.11,5.39,0.0,0.0,0.0
01/01/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.29,5.47,0.0,0.0,0.0
01/01/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.69,5.45,0.0,0.0,0.0
01/01/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.79,5.18,0.0,0.0,0.0
01/01/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.55,4.79,0.0,0.0,0.0
01/01/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.48,3.93,0.0,0.0,0.0
01/01/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.78,3.67,0.0,0.0,0.0
01/01/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.95,3.56,0.0,0.0,0.0
01/01/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,3.66,0.0,0.0,0.0
01/01/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,3.95,12.33,10.27,0.0
01/01/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.99,4.57,56.52,46.9,49.5
01/01/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.28,4.51,126.63,100.38,82.4
01/01/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.77,3.86,256.23,134.33,301.86
01/01/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.62,3.51,257.84,154.85,231.81
01/01/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.4,3.58,186.0,161.38,56.32
01/01/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.09,3.49,131.42,119.62,30.82
01/01/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.09,3.58,100.22,85.51,51.49
01/01/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.95,3.12,50.82,45.05,38.05
01/01/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.81,2.9,5.11,3.6,0.0
01/01/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.42,2.79,0.0,0.0,0.0
01/01/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.48,2.91,0.0,0.0,0.0
01/01/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.17,2.73,0.0,0.0,0.0
01/01/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.01,2.54,0.0,0.0,0.0
01/01/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.9,2.82,0.0,0.0,0.0
01/02/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.82,2.78,0.0,0.0,0.0
01/02/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.69,3.09,0.0,0.0,0.0
01/02/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.52,3.63,0.0,0.0,0.0
01/02/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.07,3.73,0.0,0.0,0.0
01/02/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.14,3.55,0.0,0.0,0.0
01/02/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.59,2.09,0.0,0.0,0.0
01/02/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.09,2.63,0.0,0.0,0.0
01/02/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.22,2.59,0.0,0.0,0.0
01/02/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.44,2.52,0.0,0.0,0.0
01/02/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.24,3.76,29.14,12.57,0.0
01/02/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.49,4.87,164.69,45.94,610.6
01/02/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.77,5.54,306.15,62.61,763.39
01/02/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.11,5.65,394.55,82.93,770.12
01/02/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.2,5.92,456.65,77.3,851.55
01/02/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.72,5.97,409.62,133.91,628.34
01/02/2024 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.32,5.97,296.94,158.33,360.01
01/02/2024 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,2.43,5.65,212.72,118.6,326.99
01/02/2024 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.88,4.36,115.39,45.99,451.16
01/02/2024 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,1.33,4.38,9.92,5.15,0.0
01/02/2024 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.93,4.74,0.0,0.0,0.0
01/02/2024 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.82,4.84,0.0,0.0,0.0
01/02/2024 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.22,4.91,0.0,0.0,0.0
01/02/2024 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.2,4.65,0.0,0.0,0.0
01/02/2024 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.44,4.39,0.0,0.0,0.0
01/03/2024 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.99,4.03,0.0,0.0,0.0
01/03/2024 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.09,3.68,0.0,0.0,0.0
01/03/2024 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.08,3.52,0.0,0.0,0.0
01/03/2024 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.33,3.18,0.0,0.0,0.0
01/03/2024 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.96,3.0,0.0,0.0,0.0
01/03/2024 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.15,2.51,0.0,0.0,0.0
01/03/2024 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.41,2.28,0.0,0.0,0.0
01/03/2024 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.55,2.34,0.0,0.0,0.0
01/03/2024 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-2.42,2.54,0.0,0.0,0.0
01/03/2024 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-1.75,2.86,21.14,11.42,0.0
01/03/2024 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.89,2.95,85.58,57.74,142.97
01/03/2024 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,-0.15,3.27,155.94,102.78,166.35
01/03/2024 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.62,4.09,189.57,136.01,132.07
01/03/2024 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.56,4.43,173.29,148.09,56.4
01/03/2024 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,0.64,3.98,147.69,131.58,36.58
