Time,Setpoint_C_,Rounded Setpoints,Mode,Indoor Temp [C],OutdoorTemp_C_,WindSpeed_m_s_,SolarIrradiation_W_m_2_,HeatSupply_kW_,Outdoor Unit [W],AHU and AUX1 [W],AUX2  [W]
12/18/2022 15:00,20,20,0,19.36051324,-3.3,5.15,365.62,6.06976781,2028.832889,70.92477778,0.382805556
12/18/2022 16:00,20,20,0,19.36357292,-3.04,5.14,248.8,6.310679577,2317.104583,103.1245694,0.375277778
12/18/2022 17:00,20,20,0,19.31929131,-4.24,3.04,100.4,6.434450637,2229.675778,85.61506944,0.357638889
12/18/2022 18:00,20,20,0,19.28034606,-5.38,2.77,3.93,7.363328451,2685.791639,116.9295833,0.356777778
12/18/2022 19:00,20.55555556,20.5,0,19.52779718,-6.11,2.9,0,9.086104223,3627.671694,946.2377361,643.4303194
12/18/2022 20:00,20.55555556,20.5,0,20.33956829,-6.81,3.17,0,12.42007529,3583.506194,2569.929069,2141.085306
12/18/2022 21:00,20.55555556,20.5,0,20.14157744,-7.5,3.34,0,9.996220486,3338.870375,183.6866389,0.394097222
12/18/2022 22:00,20.55555556,20.5,0,20.08688811,-7.9,3.07,0,9.581607664,3194.092972,163.0189722,0.399708333
12/18/2022 23:00,20.55555556,20.5,0,19.99373737,-7.98,2.82,0,9.000785189,3029.277444,146.78425,0.380541667
12/19/2022 0:00,20.55555556,20.5,0,19.97775835,-8.46,2.6,0,9.448828663,3361.580236,186.9305556,0.385861111
12/19/2022 1:00,20.55555556,20.5,0,19.90642397,-8.8,2.34,0,9.252159131,3396.167389,194.5249722,0.386611111
12/19/2022 2:00,20.55555556,20.5,0,19.8406044,-9.02,2.19,0,9.0677181,3537.883361,219.1555556,0.374819444
12/19/2022 3:00,20.55555556,20.5,0,19.82629113,-9.47,1.99,0,9.489372808,3454.395528,2208.920514,1843.516903
12/19/2022 4:00,20.55555556,20.5,0,20.050271,-9.72,1.76,0,9.854519002,3561.135681,224.0509583,0.417625
12/19/2022 5:00,20.55555556,20.5,0,19.89026034,-10.13,1.72,0,8.322740049,2946.742097,141.8067222,0.433583333
12/19/2022 6:00,20.55555556,20.5,0,19.64805671,-9.98,1.67,0,8.128997326,3035.075903,149.4822222,0.427652778
12/19/2022 7:00,20.55555556,20.5,0,19.78134727,-9.96,1.56,0,9.301121366,3847.594222,281.8133611,0.428763889
12/19/2022 8:00,20.55555556,20.5,0,19.74031657,-9.67,1.37,0,8.848790462,3997.739306,337.8039444,0.450583333
12/19/2022 9:00,20.55555556,20.5,0,19.66432012,-8.97,1.53,27.36,9.035661004,3539.240472,2165.614208,1771.603514
12/19/2022 10:00,20.55555556,20.5,0,20.01378011,-7.92,0.99,130.55,10.2633545,3892.288014,273.7267778,0.410847222
12/19/2022 11:00,20.55555556,20.5,0,19.87949949,-7.1,0.62,229.31,8.793955041,2983.170847,149.8454028,0.4275
12/19/2022 12:00,20.55555556,20.5,0,19.88983427,-5.22,0.41,364.43,8.708803924,2734.340833,127.683375,0.427097222
12/19/2022 13:00,20.55555556,20.5,0,19.98193372,-4.11,0.81,340.86,8.623633985,2622.369597,117.7838056,0.418944444
12/19/2022 14:00,20.55555556,20.5,0,20.02641032,-3.24,1.04,285.84,7.917249944,2297.790375,91.835125,0.415958333
12/19/2022 15:00,20.55555556,20.5,0,20.02806099,-2.46,0.73,232.8,7.04649538,1987.88225,69.59098611,0.436194444
12/19/2022 16:00,20.55555556,20.5,0,20.02181041,-1.97,0.49,173.05,7.267253607,2032.215569,72.67098611,0.398194444
12/19/2022 17:00,20.55555556,20.5,0,19.93996805,-2.14,0.23,71.7,7.166353302,1998.537347,69.71101389,0.415236111
12/19/2022 18:00,20.55555556,20.5,0,19.89330693,-3.21,1.12,2.88,7.396444248,2072.24375,75.811625,0.416777778
12/19/2022 19:00,20.55555556,20.5,0,20.00540425,-3.2,1.61,0,7.577458216,2168.089139,79.17669444,0.391388889
12/19/2022 20:00,20.55555556,20.5,0,20.04955976,-3.34,2.41,0,7.646432478,2207.738111,84.28775,0.399555556
12/19/2022 21:00,20.55555556,20.5,0,19.9740117,-3.81,2.73,0,7.3381373,2195.426569,80.49865278,0.376194444
12/19/2022 22:00,20.55555556,20.5,0,19.92085566,-3.57,3.04,0,7.668793596,2363.188986,94.12495833,0.396
12/19/2022 23:00,20.55555556,20.5,0,19.99539172,-3.53,2.78,0,7.729713524,2485.975167,104.5611667,0.359916667
12/20/2022 0:00,20.55555556,20.5,0,20.00996356,-3.75,2.92,0,8.052409206,2698.546278,121.7060278,0.403666667
12/20/2022 1:00,20.55555556,20.5,0,20.01510599,-3.7,3.01,0,7.297150504,2531.351819,110.2901111,0.411611111
12/20/2022 2:00,20.55555556,20.5,0,20.13283709,-3.68,2.72,0,6.527029539,1539.604778,1782.291625,1603.09175
12/20/2022 3:00,20.55555556,20.5,0,19.91095604,-3.84,2.28,0,7.61596632,2177.648569,79.94611111,0.339472222
12/20/2022 4:00,20.55555556,20.5,0,19.95650151,-3.91,1.7,0,7.867247232,2334.970347,89.71701389,0.376375
12/20/2022 5:00,20.55555556,20.5,0,19.94328607,-4.66,1.69,0,7.794842518,2450.728028,99.40945833,0.334402778
12/20/2022 6:00,20.55555556,20.5,0,19.79525471,-4.03,1.3,0,7.557980572,2616.750625,116.7033472,0.352041667
12/20/2022 7:00,20.55555556,20.5,0,20.14206183,-3.59,0.92,0,8.582925639,2164.541472,1778.602958,1585.676778
12/20/2022 8:00,20.55555556,20.5,0,19.95950773,-4.04,1.25,0,7.865998832,2321.355528,89.16927778,0.372333333
12/20/2022 9:00,20.55555556,20.5,0,19.96672878,-3.31,1.77,30.7,7.964693021,2526.722125,107.1402361,0.380875
12/20/2022 10:00,20.55555556,20.5,0,20.02482724,-1.23,1.43,142.34,8.320541207,2394.973819,1777.905819,1569.141306
12/20/2022 11:00,20.55555556,20.5,0,20.18666122,-0.14,0.77,252.71,6.811996365,1838.21925,66.84301389,0.345791667
12/20/2022 12:00,20.55555556,20.5,0,20.24274788,1.33,0.34,304.46,6.734675152,1721.449958,67.15401389,0.344763889
12/20/2022 13:00,20.55555556,20.5,0,20.12444989,2.47,0.44,378.16,5.095404006,1172.970708,57.17069444,0.386083333
12/20/2022 14:00,20.55555556,20.5,0,19.98168998,3.11,1.3,424.48,4.953075064,1106.207967,52.96804217,0.38686747
12/20/2022 15:00,20.55555556,20.5,0,20.09878011,3.71,2.05,362.03,5.615483134,1269.645755,53.25611635,0.441383648
12/20/2022 16:00,20.55555556,20.5,0,20.26361907,3.81,2.03,245.36,5.146711878,1114.624416,52.88944795,0.395205047
12/20/2022 17:00,20.55555556,20.5,0,20.17481197,0.7,2.37,99.66,4.657525278,1017.69423,51.09949686,0.412625786
12/20/2022 18:00,20.55555556,20.5,0,20.51137492,-1,2.44,4.19,9.142347661,2347.951577,1325.185599,1074.828375
12/20/2022 19:00,20.55555556,20.5,0,21.03721525,-1.78,2.42,0,1.037488094,377.7086207,38.09098746,5.673166144
12/20/2022 20:00,20.55555556,20.5,0,20.17431235,-2.23,2.13,0,4.768245996,1340.020346,50.33416667,0.370455975
12/20/2022 21:00,20.55555556,20.5,0,20.10820531,-2.68,2.08,0,5.480303103,1470.770848,55.28546311,0.364976452
12/20/2022 22:00,20.55555556,20.5,0,20.08733706,-3,1.97,0,5.786793788,1632.226185,61.87062794,0.422323391
12/20/2022 23:00,20.55555556,20.5,0,20.05643295,-2.92,1.93,0,6.218809759,1869.185833,63.96894654,0.376273585
12/21/2022 0:00,20.55555556,20.5,0,20.04202309,-2.58,2,0,6.284181748,2034.610346,66.34602201,0.421886792
12/21/2022 1:00,20.55555556,20.5,0,20.16136345,-2.69,1.94,0,7.19706004,1978.638693,1652.494283,1473.013118
12/21/2022 2:00,20.55555556,20.5,0,20.10651769,-4.59,1.92,0,5.767570716,1543.780251,57.64285714,0.447864992
