,p_mp
12/1/2023 15:00,343.2904518
12/1/2023 16:00,369.4196916
12/1/2023 17:00,119.9932845
12/1/2023 18:00,4.294026207
12/1/2023 19:00,0
12/1/2023 20:00,0
12/1/2023 21:00,0
12/1/2023 22:00,0
12/1/2023 23:00,0
12/2/2023 0:00,0
12/2/2023 1:00,0
12/2/2023 2:00,0
12/2/2023 3:00,0
12/2/2023 4:00,0
12/2/2023 5:00,0
12/2/2023 6:00,0
12/2/2023 7:00,0
12/2/2023 8:00,1.294626915
12/2/2023 9:00,159.3267622
12/2/2023 10:00,571.598091
12/2/2023 11:00,843.5498001
12/2/2023 12:00,1176.582528
12/2/2023 13:00,1564.637154
12/2/2023 14:00,1582.850412
12/2/2023 15:00,1504.098194
12/2/2023 16:00,863.5592402
12/2/2023 17:00,290.9558707
12/2/2023 18:00,14.21577048
12/2/2023 19:00,0
12/2/2023 20:00,0
12/2/2023 21:00,0
12/2/2023 22:00,0
12/2/2023 23:00,0
12/3/2023 0:00,0
12/3/2023 1:00,0
12/3/2023 2:00,0
12/3/2023 3:00,0
12/3/2023 4:00,0
12/3/2023 5:00,0
12/3/2023 6:00,0
12/3/2023 7:00,0
12/3/2023 8:00,1.294627126
12/3/2023 9:00,183.7720928
12/3/2023 10:00,522.0409855
12/3/2023 11:00,878.3212939
12/3/2023 12:00,663.8161494
12/3/2023 13:00,797.444116
12/3/2023 14:00,1648.432783
12/3/2023 15:00,2207.266859
12/3/2023 16:00,1787.755751
12/3/2023 17:00,1317.616329
12/3/2023 18:00,20.89842425
12/3/2023 19:00,0
12/3/2023 20:00,0
12/3/2023 21:00,0
12/3/2023 22:00,0
12/3/2023 23:00,0
12/4/2023 0:00,0
12/4/2023 1:00,0
12/4/2023 2:00,0
12/4/2023 3:00,0
12/4/2023 4:00,0
12/4/2023 5:00,0
12/4/2023 6:00,0
12/4/2023 7:00,0
12/4/2023 8:00,0.127866027
12/4/2023 9:00,424.0470333
12/4/2023 10:00,1279.290946
12/4/2023 11:00,2297.029291
12/4/2023 12:00,4208.753532
12/4/2023 13:00,6344.659285
12/4/2023 14:00,2986.290615
12/4/2023 15:00,2440.577191
12/4/2023 16:00,2416.49357
12/4/2023 17:00,1210.30577
12/4/2023 18:00,24.96732646
12/4/2023 19:00,0
12/4/2023 20:00,0
12/4/2023 21:00,0
12/4/2023 22:00,0
12/4/2023 23:00,0
12/5/2023 0:00,0
12/5/2023 1:00,0
12/5/2023 2:00,0
12/5/2023 3:00,0
12/5/2023 4:00,0
12/5/2023 5:00,0
12/5/2023 6:00,0
12/5/2023 7:00,0
12/5/2023 8:00,0
12/5/2023 9:00,186.6396286
12/5/2023 10:00,609.6033008
12/5/2023 11:00,1085.967407
12/5/2023 12:00,2833.518693
12/5/2023 13:00,3114.140918
12/5/2023 14:00,2398.699825
12/5/2023 15:00,1735.955881
12/5/2023 16:00,1693.841992
12/5/2023 17:00,368.1381328
12/5/2023 18:00,12.67642223
12/5/2023 19:00,0
12/5/2023 20:00,0
12/5/2023 21:00,0
12/5/2023 22:00,0
12/5/2023 23:00,0
12/6/2023 0:00,0
12/6/2023 1:00,0
12/6/2023 2:00,0
12/6/2023 3:00,0
12/6/2023 4:00,0
12/6/2023 5:00,0
12/6/2023 6:00,0
12/6/2023 7:00,0
12/6/2023 8:00,0
12/6/2023 9:00,256.3617016
12/6/2023 10:00,584.3972435
12/6/2023 11:00,2062.476021
12/6/2023 12:00,4321.502931
12/6/2023 13:00,7043.95287
12/6/2023 14:00,3078.393942
12/6/2023 15:00,2571.220928
12/6/2023 16:00,1928.497782
12/6/2023 17:00,1312.521491
12/6/2023 18:00,30.99127327
12/6/2023 19:00,0
12/6/2023 20:00,0
12/6/2023 21:00,0
12/6/2023 22:00,0
12/6/2023 23:00,0
12/7/2023 0:00,0
12/7/2023 1:00,0
12/7/2023 2:00,0
12/7/2023 3:00,0
12/7/2023 4:00,0
12/7/2023 5:00,0
12/7/2023 6:00,0
12/7/2023 7:00,0
12/7/2023 8:00,0
12/7/2023 9:00,196.2752278
12/7/2023 10:00,424.2701258
12/7/2023 11:00,1649.331309
12/7/2023 12:00,3785.378031
12/7/2023 13:00,5511.696447
12/7/2023 14:00,2684.929885
12/7/2023 15:00,2479.983368
12/7/2023 16:00,2641.996122
12/7/2023 17:00,2450.74858
12/7/2023 18:00,25.42045444
12/7/2023 19:00,0
12/7/2023 20:00,0
12/7/2023 21:00,0
12/7/2023 22:00,0
12/7/2023 23:00,0
12/8/2023 0:00,0
12/8/2023 1:00,0
12/8/2023 2:00,0
12/8/2023 3:00,0
12/8/2023 4:00,0
12/8/2023 5:00,0
12/8/2023 6:00,0
12/8/2023 7:00,0
12/8/2023 8:00,0
12/8/2023 9:00,189.994196
12/8/2023 10:00,422.0995256
12/8/2023 11:00,1714.029455
12/8/2023 12:00,3798.376707
12/8/2023 13:00,6126.724674
12/8/2023 14:00,2823.061726
12/8/2023 15:00,2596.105219
12/8/2023 16:00,2088.782392
12/8/2023 17:00,1080.312646
12/8/2023 18:00,19.98235134
12/8/2023 19:00,0
12/8/2023 20:00,0
12/8/2023 21:00,0
12/8/2023 22:00,0
12/8/2023 23:00,0
12/9/2023 0:00,0
12/9/2023 1:00,0
12/9/2023 2:00,0
12/9/2023 3:00,0
12/9/2023 4:00,0
12/9/2023 5:00,0
12/9/2023 6:00,0
12/9/2023 7:00,0
12/9/2023 8:00,0
12/9/2023 9:00,132.3360815
12/9/2023 10:00,447.7578311
12/9/2023 11:00,965.0408332
12/9/2023 12:00,2904.930949
12/9/2023 13:00,4967.051242
12/9/2023 14:00,2729.868632
12/9/2023 15:00,2045.898133
12/9/2023 16:00,2180.061222
12/9/2023 17:00,2197.906198
12/9/2023 18:00,25.92882158
12/9/2023 19:00,0
12/9/2023 20:00,0
12/9/2023 21:00,0
12/9/2023 22:00,0
12/9/2023 23:00,0
12/10/2023 0:00,0
12/10/2023 1:00,0
12/10/2023 2:00,0
12/10/2023 3:00,0
12/10/2023 4:00,0
12/10/2023 5:00,0
12/10/2023 6:00,0
12/10/2023 7:00,0
12/10/2023 8:00,0
12/10/2023 9:00,237.5218963
12/10/2023 10:00,932.5668108
12/10/2023 11:00,1992.06839
12/10/2023 12:00,2937.19767
12/10/2023 13:00,2919.110096
12/10/2023 14:00,2083.225634
12/10/2023 15:00,1886.893714
12/10/2023 16:00,1043.611527
12/10/2023 17:00,384.106267
