Time,"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2)
12/01/2023 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.63,2.71,26.31,26.35,0.0
12/01/2023 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.57,1.7,28.38,28.22,0.57
12/01/2023 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.82,1.15,9.17,9.2,0.0
12/01/2023 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.82,1.69,0.28,0.33,0.0
12/01/2023 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.94,1.78,0.0,0.0,0.0
12/01/2023 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.17,1.96,0.0,0.0,0.0
12/01/2023 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.33,1.91,0.0,0.0,0.0
12/01/2023 22:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.38,2.07,0.0,0.0,0.0
12/01/2023 23:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.54,2.91,0.0,0.0,0.0
12/02/2023 00:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.48,3.14,0.0,0.0,0.0
12/02/2023 01:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.48,3.54,0.0,0.0,0.0
12/02/2023 02:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,8.12,4.13,0.0,0.0,0.0
12/02/2023 03:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.72,4.28,0.0,0.0,0.0
12/02/2023 04:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.79,4.02,0.0,0.0,0.0
12/02/2023 05:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.99,3.64,0.0,0.0,0.0
12/02/2023 06:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.84,3.36,0.0,0.0,0.0
12/02/2023 07:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.72,2.87,0.0,0.0,0.0
12/02/2023 08:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.79,2.35,0.06,0.1,0.0
12/02/2023 09:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.63,1.71,12.55,12.24,3.39
12/02/2023 10:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.83,1.24,46.12,44.15,8.17
12/02/2023 11:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.94,1.1,65.57,64.72,2.38
12/02/2023 12:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.43,1.09,92.51,85.37,16.49
12/02/2023 13:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.45,1.06,120.25,118.8,3.12
12/02/2023 14:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.55,0.95,127.42,119.22,18.48
12/02/2023 15:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.41,0.96,120.72,113.05,20.24
12/02/2023 16:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.55,0.92,66.52,66.34,0.68
12/02/2023 17:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.32,0.95,22.3,22.33,0.0
12/02/2023 18:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,7.02,1.05,1.05,1.09,0.0
12/02/2023 19:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.78,1.25,0.0,0.0,0.0
12/02/2023 20:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.24,1.78,0.0,0.0,0.0
12/02/2023 21:00:00,"(40.43093, -86.911617)",era5,218.14,-5.0,6.19,2.17,0.0,0.0,0.0
